Project,elastic_elasticsearch,ReactiveX_RxJava,apache_dubbo,zxing_zxing,skylot_jadx,eugenp_tutorials,JakeWharton_butterknife,Netflix_Hystrix,seata_seata,halo-dev_halo,apache_kafka,square_picasso,alibaba_nacos,apache_skywalking,redisson_redisson,apache_flink,Tencent_tinker,oracle_graal,apache_rocketmq,apache_shardingsphere,TeamNewPipe_NewPipe,orhanobut_logger,prestodb_presto,zhihu_Matisse,apache_hadoop,pinpoint-apm_pinpoint,Tencent_VasSonic,androidannotations_androidannotations,realm_realm-java,Netflix_zuul,apache_druid,Netflix_eureka,JakeWharton_ViewPagerIndicator,lingochamp_FileDownloader,liaohuqiu_android-Ultra-Pull-To-Refresh,pockethub_PocketHub,apache_zookeeper,openjdk_jdk,grpc_grpc-java,apereo_cas,Tencent_matrix,apache_pulsar,ChrisRM_material-theme-jetbrains,OpenAPITools_openapi-generator,Netflix_SimianArmy,Activiti_Activiti,dropwizard_metrics,square_dagger,JakeWharton_ActionBarSherlock,apache_shardingsphere-elasticjob,OpenFeign_feign,java-native-access_jna,apache_storm,Angel-ML_angel,JakeWharton_DiskLruCache,real-logic_aeron,sshahine_JFoenix,evernote_android-job,mrniko_netty-socketio,lightbend_config,square_otto,apache_jmeter,scribejava_scribejava,springfox_springfox,apache_beam,debezium,mybatis_generator,Alluxio_alluxio,Karumi_Dexter,orhanobut_dialogplus,micronaut-projects_micronaut-core,JodaOrg_joda-time,hibernate_hibernate-orm,junit-team_junit5,JakeWharton_NineOldAndroids,dromara_shenyu,square_android-times-square,HotBitmapGG_bilibili-android-client,quartz-scheduler_quartz,spring-projects_spring-security-oauth,airbnb_DeepLinkDispatch,Netflix_ribbon,mapstruct_mapstruct,roboguice_roboguice,apache_ignite,apache_camel,apache_hive,bjmashibing_InternetArchitect,brianfrankcooper_YCSB,apache_rocketmq-externals,AntennaPod_AntennaPod,dromara_hmily,oblac_jodd,apache_incubator-heron,Atmosphere_atmosphere,powermock_powermock,Genymobile_gnirehtet,citerus_dddsample-core,querydsl_querydsl,oracle_opengrok
apache_kafka,7.348469228,7.071067812,6.8556546,7,7.141428429,6.8556546,6,6.633249581,4.795831523,7.937253933,0,5.656854249,7.416198487,5,6.782329983,6.782329983,7.615773106,6.782329983,4.795831523,9.16515139,6.480740698,5.830951895,6.08276253,5.916079783,6.244997998,6.08276253,5.567764363,7.937253933,7.416198487,6.633249581,6.164414003,6.633249581,6.164414003,5.916079783,6.782329983,7.681145748,6.403124237,6.782329983,7.549834435,8.888194417,5.385164807,6.480740698,6.403124237,7.745966692,6.557438524,7.874007874,3.464101615,5.477225575,6.782329983,9.16515139,6.633249581,7,7.681145748,7.348469228,5.830951895,6.480740698,7.615773106,6.164414003,6.32455532,7.141428429,6.244997998,8.426149773,6.8556546,5.830951895,7.071067812,6.32455532,7.681145748,6.8556546,5.916079783,6.164414003,7,6.92820323,7.071067812,7.141428429,6.708203932,9.327379053,5.477225575,5.830951895,6.8556546,6.92820323,5.744562647,6.633249581,6.164414003,6.32455532,6.782329983,7.483314774,6.633249581,7.071067812,6.32455532,4.472135955,7.280109889,9.219544457,6.244997998,7.937253933,6.8556546,8.124038405,6.480740698,6.8556546,7.141428429,6.32455532
square_picasso,6.32455532,6.480740698,6.244997998,5.744562647,7,6.08276253,3.464101615,4.69041576,4.795831523,7.416198487,5.656854249,0,7,5,5.830951895,5.656854249,6.92820323,6.32455532,4.795831523,9.486832981,4.898979486,3.741657387,5.916079783,3.31662479,5.196152423,5,3,7.549834435,6.08276253,4.69041576,5.656854249,4.69041576,4.898979486,3,5.477225575,7.141428429,5,5.830951895,7.141428429,8.426149773,3.31662479,5.477225575,4.582575695,7.211102551,4.582575695,7.211102551,4.69041576,1.414213562,5.477225575,9.486832981,4.69041576,6.244997998,7,6.480740698,3.16227766,5.830951895,7.071067812,4,5.099019514,6.403124237,3.872983346,7.280109889,6.244997998,4.898979486,6.480740698,5.477225575,7.141428429,6.403124237,3,4,5.744562647,5.656854249,6.633249581,6.244997998,5.567764363,8.774964387,1.414213562,2.828427125,6.08276253,6.164414003,2.645751311,4.69041576,4.472135955,4.472135955,5.830951895,6.32455532,5.477225575,6.32455532,4.898979486,4.69041576,7,8.774964387,4.123105626,7.280109889,6.08276253,8,4.472135955,5,6.403124237,5.291502622
alibaba_nacos,7.416198487,7.681145748,7.348469228,7.745966692,6.480740698,7.615773106,7.280109889,7.681145748,7.071067812,3.16227766,7.416198487,7,0,7.071067812,7.937253933,7.416198487,5.385164807,7.681145748,7.071067812,8.660254038,7.416198487,7.280109889,7.071067812,7.211102551,7.615773106,6.633249581,6.92820323,8.246211251,7.745966692,7.681145748,7.141428429,7.681145748,7.141428429,6.782329983,7.549834435,3.464101615,7.745966692,7.549834435,3.741657387,8.717797887,6.92820323,7,7.348469228,3.605551275,7.615773106,3.872983346,6.708203932,7.141428429,7.549834435,8.660254038,7.681145748,7.745966692,3.464101615,6.08276253,7.416198487,7.549834435,3.31662479,7.416198487,7.810249676,7.745966692,7.615773106,8.485281374,7.348469228,7.549834435,7.549834435,7.681145748,3.464101615,5.291502622,7.071067812,7.549834435,7.348469228,7.416198487,7.937253933,7.483314774,7.615773106,7.874007874,7.141428429,7.141428429,7.615773106,7.681145748,7.071067812,7.681145748,7.280109889,7.681145748,7.280109889,8.544003745,7.937253933,7.280109889,7.681145748,7,5.656854249,7.745966692,7.483314774,8.366600265,7.615773106,8.185352772,7.549834435,7.874007874,7.874007874,7.416198487
apache_skywalking,6.403124237,6.244997998,6,6.164414003,6.782329983,5.830951895,5.567764363,6.557438524,2.449489743,7.615773106,5,5,7.071067812,0,7,6.08276253,7.810249676,6.8556546,2.449489743,9.848857802,6.557438524,5.744562647,6,5.477225575,6.633249581,5.830951895,5.099019514,8,6.32455532,6.557438524,5.916079783,6.557438524,4.795831523,5.477225575,5.567764363,7.211102551,6.633249581,5.567764363,7.211102551,9.16515139,4.898979486,6.244997998,6,7.280109889,6.480740698,7.416198487,3.872983346,5,5.567764363,9.848857802,6.557438524,5.830951895,7.211102551,6.403124237,5.385164807,6.708203932,7.280109889,5.385164807,6.557438524,6.164414003,6.164414003,7.211102551,6.480740698,6.403124237,6.403124237,5.567764363,7.211102551,6.480740698,5.291502622,5.567764363,6.480740698,6.708203932,6.403124237,6,5.477225575,9.16515139,5,5.196152423,5.830951895,5.916079783,5.291502622,6.557438524,5.744562647,6.08276253,5.744562647,7.141428429,6.8556546,6.08276253,6.557438524,2.645751311,6.92820323,9.16515139,6.164414003,7.615773106,5.830951895,7.937253933,6.403124237,6.782329983,6.164414003,6.08276253
redisson_redisson,7.874007874,8,7.810249676,6.08276253,7.141428429,7.810249676,5.830951895,6,6.8556546,8.544003745,6.782329983,5.830951895,7.937253933,7,0,7.211102551,7.211102551,6.633249581,6.8556546,8.485281374,5.830951895,5.477225575,7,5.744562647,5.567764363,6.8556546,5.744562647,6.403124237,7.549834435,6,7.211102551,6,6.92820323,5.744562647,7.211102551,8.306623863,5.567764363,7.745966692,8.306623863,8.062257748,5.916079783,7.348469228,6.08276253,8.366600265,5.916079783,8.246211251,6.32455532,6,7.211102551,8.485281374,6,7.937253933,8.062257748,7.615773106,6,6.633249581,8.246211251,6,4,7.937253933,5.744562647,7.681145748,7,5.477225575,7.615773106,7.211102551,8.306623863,7.681145748,6.244997998,6,6.244997998,6.782329983,7.483314774,7.937253933,7.549834435,8.185352772,6,6.32455532,7.681145748,7.745966692,6.08276253,6,5.656854249,5.477225575,8,6.480740698,5.656854249,7.874007874,5.477225575,6.782329983,7.549834435,8.306623863,5.744562647,6.8556546,7.681145748,7.874007874,5.656854249,6.08276253,7.937253933,7.071067812
apache_flink,6.164414003,5.830951895,6.08276253,6.8556546,7.280109889,5.744562647,5.830951895,6,6.08276253,7.681145748,6.782329983,5.656854249,7.416198487,6.08276253,7.211102551,0,7.615773106,6.480740698,6.08276253,10.09950494,6.164414003,6.32455532,6.557438524,5.744562647,6.708203932,5.744562647,5.196152423,7.937253933,5.744562647,6,5.291502622,6,5.477225575,5.744562647,5.656854249,7.416198487,6.403124237,5.656854249,7.416198487,9.110433579,5.196152423,4,6.244997998,7.483314774,6.08276253,7.348469228,5.830951895,5.656854249,5.656854249,10.09950494,6,6.08276253,7.416198487,6.32455532,5.656854249,6.633249581,7.348469228,5.830951895,6.480740698,5.567764363,5.916079783,7.937253933,7.810249676,6.782329983,4.69041576,6,7.416198487,6.244997998,5.567764363,6,5.916079783,6,6.32455532,5.744562647,5.385164807,9.327379053,5.656854249,5.656854249,5.916079783,5.830951895,5.567764363,6,6.164414003,6.633249581,5.656854249,7.615773106,6.633249581,6,6.480740698,5.830951895,7.141428429,9.327379053,5.916079783,7.810249676,5.916079783,8.485281374,6.32455532,6.08276253,5.744562647,5.656854249
Tencent_tinker,8.602325267,9.055385138,8.774964387,7.810249676,7.280109889,9,7.211102551,7.348469228,7.810249676,5.916079783,7.615773106,6.92820323,5.385164807,7.810249676,7.211102551,7.615773106,0,7.874007874,7.810249676,7.348469228,7.348469228,7.071067812,7.681145748,7.141428429,7.681145748,7.810249676,7.141428429,7.416198487,8.774964387,7.348469228,7.745966692,7.348469228,8.246211251,6.8556546,8.485281374,5.744562647,7.549834435,8.94427191,5.916079783,8.062257748,7.280109889,7.745966692,7.549834435,5.830951895,7.416198487,6,7.211102551,6.92820323,8.485281374,7.348469228,7.348469228,9.110433579,5.744562647,7.483314774,7.211102551,7.745966692,5.656854249,7.615773106,6.92820323,9.110433579,7.141428429,8.185352772,7.416198487,7.211102551,8.485281374,8.366600265,5.744562647,6.403124237,7.141428429,7.483314774,7.681145748,7.615773106,8.717797887,8.888194417,8.774964387,7,6.92820323,7.211102551,9,9.055385138,6.8556546,7.348469228,7.348469228,7.615773106,8.366600265,8.124038405,7.615773106,8.831760866,7.483314774,7.615773106,7,6.8556546,7.280109889,7.681145748,9,8.124038405,7.348469228,7.549834435,9.219544457,7.874007874
oracle_graal,7.348469228,7.483314774,7.549834435,6.08276253,7.280109889,7.280109889,6.164414003,6,6.557438524,8.062257748,6.782329983,6.32455532,7.681145748,6.8556546,6.633249581,6.480740698,7.874007874,0,6.557438524,9.38083152,5.656854249,6.164414003,5.567764363,6.244997998,5.744562647,6.08276253,6.08276253,7.141428429,7.280109889,6,6.32455532,6,6.782329983,6.403124237,7.211102551,7.810249676,5.744562647,7.211102551,7.810249676,8.062257748,6.08276253,6.633249581,5.744562647,7.874007874,6.08276253,7.874007874,6,6.32455532,7.211102551,9.38083152,6,7.141428429,7.681145748,7.211102551,6.164414003,6.32455532,7.745966692,6.164414003,5.830951895,7.416198487,6.08276253,7.549834435,7.141428429,6.480740698,7.348469228,6.92820323,7.810249676,6.708203932,6.557438524,6.32455532,6.8556546,6.480740698,7.211102551,7.681145748,7.280109889,8.660254038,6.32455532,6.633249581,7.280109889,7.348469228,6.08276253,6,5.830951895,6.480740698,7.071067812,6.92820323,5.830951895,7.483314774,5.656854249,6.32455532,7.681145748,8.544003745,5.744562647,6.403124237,7.280109889,8.124038405,6,6.244997998,7.416198487,6.164414003
apache_rocketmq,6.08276253,5.916079783,5.656854249,6.32455532,6.92820323,5.477225575,5.385164807,6.403124237,0,7.615773106,4.795831523,4.795831523,7.071067812,2.449489743,6.8556546,6.08276253,7.810249676,6.557438524,0,9.949874371,6.403124237,5.567764363,5.656854249,5.291502622,6.32455532,5.477225575,4.898979486,7.874007874,6,6.403124237,5.744562647,6.403124237,4.358898944,5.291502622,5.196152423,7.071067812,6.32455532,5.385164807,7.071067812,9.273618495,4.69041576,6.08276253,5.830951895,7.141428429,6.32455532,7.416198487,3.31662479,4.795831523,5.196152423,9.949874371,6.403124237,5.291502622,7.211102551,6.08276253,5.196152423,6.557438524,7.141428429,5.196152423,6.403124237,5.830951895,6,7.071067812,6.480740698,6.244997998,6.08276253,5.567764363,7.071067812,6.32455532,5.099019514,5.385164807,6.480740698,6.557438524,6.244997998,5.830951895,5.099019514,9.273618495,4.795831523,5,5.477225575,5.567764363,5.099019514,6.403124237,5.916079783,5.567764363,5.916079783,6.8556546,6.708203932,5.744562647,6.244997998,1.732050808,6.633249581,9.273618495,6,7.483314774,5.477225575,7.937253933,6.244997998,6.633249581,5.830951895,5.916079783
apache_shardingsphere,10.67707825,11.22497216,10.81665383,8.888194417,8.544003745,11.18033989,9.273618495,9.055385138,9.949874371,9,9.16515139,9.486832981,8.660254038,9.848857802,8.485281374,10.09950494,7.348469228,9.38083152,9.949874371,0,9.055385138,9.16515139,9.219544457,9.219544457,9.327379053,10.14889157,9.539392014,7.549834435,10.72380529,9.055385138,9.899494937,9.055385138,10.58300524,9.219544457,10.67707825,8.774964387,9.219544457,11.04536102,8.774964387,7.681145748,9.643650761,10,9.110433579,8.831760866,9.110433579,8.94427191,9.591663047,9.486832981,10.67707825,0,9.055385138,11.26942767,8.660254038,10.09950494,9.38083152,8.94427191,8.717797887,9.591663047,8.831760866,11.18033989,9,9.433981132,8.306623863,8.94427191,10.39230485,10.48808848,8.774964387,9,9.643650761,9.486832981,9.110433579,9.591663047,10.95445115,11,11,3.872983346,9.486832981,9.695359715,11.18033989,11.22497216,9.327379053,9.055385138,9.273618495,9.486832981,10.39230485,8.94427191,8.717797887,10.95445115,9.273618495,9.797958971,9.746794345,3.872983346,9.110433579,7.681145748,11.18033989,8.602325267,8.94427191,9,11.26942767,10
